lapNo,No,gap,time,,,,,,,,,,,,
18,30,50.408,1:11.637,,,,,,,,,,,,
18,19,51.543,1:11.753,,,,,,,,,,,,
18,9,59.131,1:12.041,,,,,,,,,,,,
19,44,0,1:11.613,,,,,,,,,,,,
19,7,3.868,1:11.509,,,,,,,,,,,,
19,5,8.856,1:11.575,,,,,,,,,,,,
19,6,23.425,1:10.397,,,,,,,,,,,,
19,33,24.767,1:10.519,,,,,,,,,,,,
19,3,27.951,1:10.942,,,,,,,,,,,,
19,8,33.833,1:12.843,,,,,,,,,,,,
19,12,37.779,1:12.455,,,,,,,,,,,,
19,22,38.335,1:12.408,,,,,,,,,,,,
19,27,39.494,1:12.647,,,,,,,,,,,,
19,77,40.218,1:12.269,,,,,,,,,,,,
19,21,41.525,1:13.846,,,,,,,,,,,,
19,14,41.993,1:12.426,,,,,,,,,,,,
19,11,42.592,1:11.711,,,,,,,,,,,,
19,55,45.498,1:11.706,,,,,,,,,,,,
19,88,47.307,1:11.974,,,,,,,,,,,,
19,94,49.105,1:12.130,,,,,,,,,,,,
19,20,49.584,1:11.999,,,,,,,,,,,,
19,30,50.797,1:12.002,,,,,,,,,,,,
19,19,51.777,1:11.847,,,,,,,,,,,,
19,9,59.641,1:12.123,,,,,,,,,,,,
20,44,0,1:11.419,,,,,,,,,,,,
20,7,4.356,1:11.907,,,,,,,,,,,,
20,5,9.241,1:11.804,,,,,,,,,,,,
20,6,21.935,1:09.929,,,,,,,,,,,,
20,33,24.192,1:10.844,,,,,,,,,,,,
20,3,27.349,1:10.817,,,,,,,,,,,,
20,8,35.027,1:12.613,,,,,,,,,,,,
20,12,38.521,1:12.161,,,,,,,,,,,,
20,22,39.158,1:12.242,,,,,,,,,,,,
20,27,40.854,1:12.779,,,,,,,,,,,,
20,77,41.368,1:12.569,,,,,,,,,,,,
20,14,42.241,1:11.667,,,,,,,,,,,,
20,21,43.892,1:13.786,,,,,,,,,,,,
20,11,44.303,1:13.130,,,,,,,,,,,,
20,55,45.968,1:11.889,,,,,,,,,,,,
20,88,48.026,1:12.138,,,,,,,,,,,,
20,94,50.040,1:12.354,,,,,,,,,,,,
20,20,50.345,1:12.180,,,,,,,,,,,,
20,30,51.328,1:11.950,,,,,,,,,,,,
20,19,52.201,1:11.843,,,,,,,,,,,,
20,9,60.605,1:12.383,,,,,,,,,,,,
21,44,PIT,1:14.992,,,,,,,,,,,,
21,7,0.908,1:11.544,,,,,,,,,,,,
21,5,6.077,1:11.828,,,,,,,,,,,,
21,6,16.609,1:09.666,,,,,,,,,,,,
21,33,19.634,1:10.434,,,,,,,,,,,,
21,3,23.145,1:10.788,,,,,,,,,,,,
21,8,33.057,1:13.022,,,,,,,,,,,,
21,22,35.471,1:11.305,,,,,,,,,,,,
21,12,36.814,1:13.285,,,,,,,,,,,,
21,77,38.101,1:11.725,,,,,,,,,,,,
21,27,38.919,1:13.057,,,,,,,,,,,,
21,14,39.237,1:11.988,,,,,,,,,,,,
21,11,42.858,1:13.547,,,,,,,,,,,,
21,55,43.231,1:12.255,,,,,,,,,,,,
21,88,45.334,1:12.300,,,,,,,,,,,,
21,21,PIT,1:16.508,,,,,,,,,,,,
21,94,47.418,1:12.370,,,,,,,,,,,,
21,20,47.709,1:12.356,,,,,,,,,,,,
21,30,48.487,1:12.151,,,,,,,,,,,,
21,19,49.091,1:11.882,,,,,,,,,,,,
21,9,57.415,1:11.802,,,,,,,,,,,,
22,7,PIT,1:15.819,,,,,,,,,,,,
22,5,1.288,1:11.938,,,,,,,,,,,,
22,6,9.418,1:09.536,,,,,,,,,,,,
22,44,13.350,1:30.077,,,,,,,,,,,,
22,33,13.906,1:10.999,,,,,,,,,,,,
22,3,17.460,1:11.042,,,,,,,,,,,,
22,8,28.907,1:12.577,,,,,,,,,,,,
22,22,30.791,1:12.047,,,,,,,,,,,,
22,77,33.530,1:12.156,,,,,,,,,,,,
22,12,34.670,1:14.583,,,,,,,,,,,,
22,14,34.990,1:12.480,,,,,,,,,,,,
22,27,35.778,1:13.586,,,,,,,,,,,,
22,11,37.876,1:11.745,,,,,,,,,,,,
22,55,38.822,1:12.318,,,,,,,,,,,,
22,88,40.846,1:12.239,,,,,,,,,,,,
22,20,43.761,1:12.779,,,,,,,,,,,,
22,94,45.089,1:14.398,,,,,,,,,,,,
22,30,45.329,1:13.569,,,,,,,,,,,,
22,19,45.798,1:13.434,,,,,,,,,,,,
22,9,52.682,1:11.994,,,,,,,,,,,,
22,21,59.193,1:30.512,,,,,,,,,,,,
23,5,0,1:11.753,,,,,,,,,,,,
23,6,6.132,1:09.755,,,,,,,,,,,,
23,44,11.207,1:10.898,,,,,,,,,,,,
23,33,11.759,1:10.894,,,,,,,,,,,,
23,3,15.148,1:10.729,,,,,,,,,,,,
23,7,16.603,1:29.644,,,,,,,,,,,,
23,8,28.631,1:12.765,,,,,,,,,,,,
23,22,29.680,1:11.930,,,,,,,,,,,,
23,77,32.362,1:11.873,,,,,,,,,,,,
23,12,34.744,1:13.115,,,,,,,,,,,,
23,14,35.217,1:13.268,,,,,,,,,,,,
23,27,36.061,1:13.324,,,,,,,,,,,,
23,11,36.597,1:11.762,,,,,,,,,,,,
23,55,37.924,1:12.143,,,,,,,,,,,,
23,88,40.123,1:12.318,,,,,,,,,,,,
23,20,43.234,1:12.514,,,,,,,,,,,,
23,19,45.335,1:12.578,,,,,,,,,,,,
23,30,46.206,1:13.918,,,,,,,,,,,,
23,94,PIT,1:18.879,,,,,,,,,,,,
23,9,51.980,1:12.339,,,,,,,,,,,,
23,21,57.887,1:11.735,,,,,,,,,,,,
24,5,0,1:11.845,,,,,,,,,,,,
24,6,4.448,1:10.161,,,,,,,,,,,,
24,44,9.458,1:10.096,,,,,,,,,,,,
24,33,10.679,1:10.765,,,,,,,,,,,,
24,3,14.068,1:10.765,,,,,,,,,,,,
24,7,16.035,1:11.277,,,,,,,,,,,,
24,8,29.325,1:12.539,,,,,,,,,,,,
24,22,29.993,1:12.158,,,,,,,,,,,,
24,77,32.445,1:11.928,,,,,,,,,,,,
24,12,35.375,1:12.476,,,,,,,,,,,,
24,14,35.844,1:12.472,,,,,,,,,,,,
24,11,38.046,1:13.294,,,,,,,,,,,,
24,55,38.408,1:12.329,,,,,,,,,,,,
